particles,area,area_convex,axis_major_length,axis_minor_length,bbox-0,bbox-1,bbox-2,bbox-3,centroid-0,centroid-1,ECD,orientation,perimeter,largest_dimension,smallest_dim_area,Aspect Ratio,area_ratio,intermetallic,orientation_deg
0,87.76859504132231,137.54752066115702,34.36480312883625,4.18093686130406,0.0,2788.0,719.0,3096.0,303.5983286252354,2958.18027306968,10.571208350631354,-0.3936487039092716,84.69401149063793,34.66406074651405,2.5319767260720787,8.219402557090435,0.638096525618494,2.0,67.44559065520374
1,0.012396694214876033,0.014462809917355372,0.24508729100582138,0.06489510748641938,15.0,11318.0,20.0,11320.0,16.833333333333332,11318.166666666666,0.12563423617139471,-0.08257433870731343,0.2461006164715043,0.18181818181818182,0.06818181818181818,3.776668234305812,0.8571428571428571,2.0,85.26883889598719
2,0.012396694214876033,0.012396694214876033,0.1484539238050411,0.09090909090909091,32.0,11319.0,34.0,11322.0,32.5,11320.0,0.12563423617139471,1.5707963267948966,0.2727272727272727,0.10163945352271772,0.12196734422726126,1.632993161855452,1.0,2.0,0.0
3,4.582644628099174,6.919421487603306,12.45489501747589,0.5709324053234874,86.0,11759.0,273.0,11905.0,175.38954012623987,11828.205139765554,2.415533969946196,0.6538708364490938,25.136506275526344,10.60923112784178,0.43194879750267207,21.815008048840753,0.6622872499253508,2.0,52.53596072477801
4,0.06611570247933884,0.07644628099173553,0.4175633029084469,0.21061482617882665,276.0,11959.0,285.0,11964.0,280.125,11960.84375,0.29013984029195106,0.10101111266105563,0.959390987172646,0.37482778414706003,0.17638954548096944,1.9825921587965825,0.8648648648648649,2.0,84.21248956060104
5,2.231404958677686,3.006198347107438,5.588583721868859,0.6100146041755959,285.0,11915.0,376.0,11986.0,333.98703703703706,11954.977777777778,1.6855601542830092,0.6959513131216543,11.50544732032475,5.046273479812391,0.4421886700362987,9.16139332339682,0.7422680412371135,2.0,50.12492701154158
6,0.2975206611570248,0.33884297520661155,0.8206505954901498,0.4932267238724668,328.0,11178.0,346.0,11190.0,335.65972222222223,11183.993055555555,0.6154795456884614,0.20452124036113364,2.274619570924664,0.8054565975758795,0.3693813695889384,1.6638404931650557,0.878048780487805,2.0,78.28179610652637
7,1.322314049586777,1.415289256198347,1.6122399285647915,1.0727885644487722,387.0,1024.0,423.0,1052.0,405.1234375,1037.6453125,1.29754481174747,0.49319593116764254,4.635579820786223,1.7134615295427968,0.7717208859306052,1.502849659283238,0.9343065693430658,2.0,61.74195467106942
8,0.2871900826446281,0.5867768595041323,2.410302105400498,0.2656048899360026,561.0,12089.0,597.0,12120.0,578.4964028776978,12103.273381294965,0.6046997354711675,0.6943669459178099,4.196631900354751,2.037357711910452,0.14096203183452105,9.074765551120912,0.4894366197183098,1.0,50.21570456552081
9,0.11776859504132231,0.13429752066115702,0.5033909576797889,0.3155321949374661,598.0,12118.0,610.0,12125.0,603.9298245614035,12121.140350877193,0.3872307223536286,0.18742842924027106,1.4343795084592748,0.5081972676135886,0.23173795403179634,1.5953711404300714,0.8769230769230769,2.0,79.26114204376609
10,0.25,0.32644628099173556,1.1169882999686183,0.31335604046987114,612.0,12120.0,633.0,12132.0,622.1570247933885,12126.528925619834,0.5641895835477563,0.29030863811051694,2.4908631760556057,1.0163945352271773,0.24596747752497683,3.564597951562435,0.7658227848101266,2.0,73.3665402800766
11,0.09710743801652892,0.1322314049586777,0.5321873833912024,0.30466210788757403,715.0,8426.0,727.0,8434.0,719.2978723404256,8429.936170212766,0.3516262649043204,0.39892374898411664,1.4061376746611094,0.5081972676135886,0.19108217262270927,1.7468118601332248,0.734375,2.0,67.14335283567385
12,0.48140495867768596,0.5227272727272727,1.0302761071276914,0.6022790265190309,716.0,12138.0,738.0,12154.0,725.824034334764,12145.776824034334,0.7829072936306232,0.4683897152298141,2.7401941476119047,1.0385145144359875,0.4635514978229599,1.7106292295820742,0.9209486166007905,2.0,63.16324614999715
13,0.7644628099173554,0.8202479338842975,1.1532250241801014,0.8675565522187576,864.0,12169.0,891.0,12189.0,876.5324324324324,12177.559459459459,0.9865821202850459,0.14726252767524872,3.371989372003344,1.2128785512842122,0.6302880112010653,1.3292793665505178,0.9319899244332494,2.0,81.56247868377977
14,0.29958677685950413,0.33884297520661155,0.7571528165677818,0.5303557790047869,941.0,12196.0,959.0,12210.0,948.2413793103449,12201.558620689655,0.6176129300599768,-0.37290269854200525,2.2635904487828786,0.8054565975758795,0.37194651798886164,1.4276318775833454,0.8841463414634146,2.0,68.63424920450386
15,0.14049586776859505,0.18801652892561985,0.6945319187143099,0.356321645097431,992.0,8535.0,1007.0,8543.0,997.9705882352941,8539.088235294117,0.4229478628801162,0.11899616018602528,2.2275498479277216,0.6508100483307433,0.21587845505605147,1.9491712846251599,0.7472527472527473,2.0,83.18202224307807
